fname,label,manually_verified
00044347.wav,Hi-hat,0
001ca53d.wav,Saxophone,1
002d256b.wav,Trumpet,0
0033e230.wav,Glockenspiel,1
00353774.wav,Cello,1
003b91e8.wav,Cello,0
003da8e5.wav,Knock,1
0048fd00.wav,Gunshot_or_gunfire,1
004ad66f.wav,Clarinet,0
0063ab88.wav,Computer_keyboard,0
006f2f32.wav,Hi-hat,1
0075d39c.wav,Keys_jangling,0
00780200.wav,Snare_drum,0
0079d310.wav,Writing,0
0091fc7f.wav,Cello,1
0097160c.wav,Laughter,1
00ad7068.wav,Laughter,0
00c5808a.wav,Tearing,0
00c82919.wav,Fart,0
00c934d7.wav,Laughter,1
00c9e799.wav,Oboe,0
00cb787c.wav,Flute,1
00ce569f.wav,Hi-hat,0
00d1fe46.wav,Cough,0
00d3bba3.wav,Telephone,1
00d40fa2.wav,Snare_drum,0
00d9fa61.wav,Flute,0
00e2b4cd.wav,Bark,1
00f88dc5.wav,Glockenspiel,1
00fbb28b.wav,Chime,0
00fcbab2.wav,Bass_drum,0
010aa387.wav,Fart,0
011a2185.wav,Cello,1
0120d246.wav,Bus,0
01235a12.wav,Squeak,0
01257aad.wav,Scissors,1
01302128.wav,Harmonica,0
013264d3.wav,Squeak,0
013c3135.wav,Clarinet,0
01506d76.wav,Scissors,0
015cf474.wav,Clarinet,0
0160d55e.wav,Gong,1
01638f61.wav,Writing,0
0172a2a5.wav,Microwave_oven,1
017ea24e.wav,Burping_or_eructation,0
01811e48.wav,Harmonica,0
0184c390.wav,Cello,0
018863f5.wav,Double_bass,0
018a10bb.wav,Double_bass,0
018b1df6.wav,Shatter,1
